Module                  Size  Used by
videobuf2_v4l2         36864  1 uvcvideo
snd_pcm               200704  16 snd_sof_amd_acp,snd_hda_codec_hdmi,snd_pci_acp6x,snd_acp_legacy_common,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_acp6x_pdm_dma,snd_compress,snd_soc_core,snd_sof_utils,soundwire_amd,snd_hda_core,snd_pci_ps,snd_pcm_dmaengine
btrtl                  32768  1 btusb
snd_seq               122880  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
ttm                   126976  2 amdgpu,drm_ttm_helper
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
btintel                69632  1 btusb
hp_wmi                 36864  0
snd_pci_acp5x          16384  0
btbcm                  24576  1 btusb
drm_exec               12288  1 amdgpu
kvm_amd               241664  0
videodev              364544  2 videobuf2_v4l2,uvcvideo
drm_suballoc_helper    24576  1 amdgpu
snd_rn_pci_acp3x       16384  0
spd5118                12288  0
mac80211             1851392  2 rtw89_core,rtw89_pci
btmtk                  36864  1 btusb
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
sparse_keymap          12288  1 hp_wmi
snd_acp_config         20480  10 snd_rn_pci_acp3x,snd_sof_amd_acp70,snd_pci_acp6x,snd_pci_acp5x,snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_acp_pci,snd_pci_ps,snd_sof_amd_renoir
kvm                  1445888  1 kvm_amd
drm_display_helper    290816  1 amdgpu
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
rapl                   20480  0
platform_profile       20480  1 hp_wmi
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
bluetooth            1024000  44 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
wmi_bmof               12288  0
snd                   143360  47 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_pcm,snd_rawmidi
cfg80211             1462272  3 rtw89_core,mac80211,rtw89_8852b_common
irqbypass              16384  1 kvm
cec                    98304  2 drm_display_helper,amdgpu
rc_core                73728  1 cec
i2c_piix4              32768  0
snd_soc_acpi           16384  5 snd_sof_amd_acp,snd_acp_legacy_common,snd_acp_config,snd_amd_acpi_mach,snd_pci_ps
snd_pci_acp3x          16384  0
i2c_smbus              20480  1 i2c_piix4
i2c_algo_bit           16384  1 amdgpu
k10temp                16384  0
soundcore              16384  2 snd_ctl_led,snd
libarc4                12288  1 mac80211
ccp                   159744  1 kvm_amd
nls_iso8859_1          12288  1
amd_pmc                49152  0
wireless_hotkey        12288  0
acpi_tad               20480  0
input_leds             12288  0
joydev                 32768  0
serio_raw              20480  0
mac_hid                12288  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
btrfs                2150400  0
blake2b_generic        20480  0
raid10                 73728  0
raid456               192512  0
async_raid6_recov      20480  1 raid456
async_memcpy           16384  2 raid456,async_raid6_recov
async_pq               20480  2 raid456,async_raid6_recov
async_xor              16384  3 async_pq,raid456,async_raid6_recov
async_tx               16384  5 async_pq,async_memcpy,async_xor,raid456,async_raid6_recov
xor                    24576  2 async_xor,btrfs
raid6_pq              131072  4 async_pq,btrfs,raid456,async_raid6_recov
raid1                  61440  0
raid0                  24576  0
linear                 16384  0
dm_mirror              28672  0
dm_region_hash         24576  1 dm_mirror
dm_log                 20480  2 dm_region_hash,dm_mirror
hid_multitouch         36864  0
nvme                   61440  2
nvme_core             233472  3 nvme
nvme_keyring           20480  1 nvme_core
hid_generic            12288  0
usbhid                 77824  0
polyval_clmulni        12288  0
ghash_clmulni_intel    12288  0
nvme_auth              28672  1 nvme_core
video                  77824  1 amdgpu
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
wmi                    28672  3 hp_wmi,video,wmi_bmof
hid                   262144  5 i2c_hid,usbhid,hid_multitouch,snd_soc_sdca,hid_generic
aesni_intel            98304  6
